recv[406] = 0.932410, LLR [406] = 0.000000
recv[407] = -0.999625, LLR [407] = 0.000000
recv[408] = -0.911779, LLR [408] = 0.000000
recv[409] = -0.904838, LLR [409] = 0.000000
recv[410] = 0.971121, LLR [410] = 0.000000
recv[411] = 1.129826, LLR [411] = 0.000000
recv[412] = -0.882969, LLR [412] = 0.000000
recv[413] = -1.007708, LLR [413] = 0.000000
recv[414] = -0.898018, LLR [414] = 0.000000
recv[415] = 1.045031, LLR [415] = 0.000000
recv[416] = 0.989820, LLR [416] = 0.000000
recv[417] = 1.037022, LLR [417] = 0.000000
recv[418] = -1.114572, LLR [418] = 0.000000
recv[419] = -1.040022, LLR [419] = 0.000000
recv[420] = -1.129141, LLR [420] = 0.000000
recv[421] = 0.973445, LLR [421] = 0.000000
recv[422] = 0.936993, LLR [422] = 0.000000
recv[423] = 0.974848, LLR [423] = 0.000000
recv[424] = 0.987854, LLR [424] = 0.000000
recv[425] = -0.996076, LLR [425] = 0.000000
recv[426] = -1.019332, LLR [426] = 0.000000
recv[427] = 0.970979, LLR [427] = 0.000000
recv[428] = -1.011021, LLR [428] = 0.000000
recv[429] = 0.984524, LLR [429] = 0.000000
recv[430] = 1.018012, LLR [430] = 0.000000
recv[431] = -0.993076, LLR [431] = 0.000000
recv[432] = -1.127507, LLR [432] = 0.000000
recv[433] = -1.088457, LLR [433] = 0.000000
recv[434] = -1.085276, LLR [434] = 0.000000
recv[435] = -0.917404, LLR [435] = 0.000000
recv[436] = -0.856422, LLR [436] = 0.000000
recv[437] = 0.900912, LLR [437] = 0.000000
recv[438] = -1.056150, LLR [438] = 0.000000
recv[439] = 0.923657, LLR [439] = 0.000000
recv[440] = -0.892263, LLR [440] = 0.000000
recv[441] = 0.973367, LLR [441] = 0.000000
recv[442] = -0.925290, LLR [442] = 0.000000
recv[443] = 0.984292, LLR [443] = 0.000000
recv[444] = -0.878206, LLR [444] = 0.000000
recv[445] = 1.072271, LLR [445] = 0.000000
recv[446] = -0.934058, LLR [446] = 0.000000
recv[447] = -0.819378, LLR [447] = 0.000000
recv[448] = 1.140144, LLR [448] = 0.000000
recv[449] = 0.975410, LLR [449] = 0.000000
recv[450] = 0.962438, LLR [450] = 0.000000
recv[451] = 1.022000, LLR [451] = 0.000000
recv[452] = 1.019643, LLR [452] = 0.000000
recv[453] = -0.899732, LLR [453] = 0.000000
recv[454] = -1.088467, LLR [454] = 0.000000
recv[455] = -1.032247, LLR [455] = 0.000000
recv[456] = -1.055188, LLR [456] = 0.000000
recv[457] = -0.996459, LLR [457] = 0.000000
recv[458] = -1.014586, LLR [458] = 0.000000
recv[459] = 1.090988, LLR [459] = 0.000000
recv[460] = -1.068061, LLR [460] = 0.000000
recv[461] = -1.002955, LLR [461] = 0.000000
recv[462] = 1.010859, LLR [462] = 0.000000
recv[463] = -0.990530, LLR [463] = 0.000000
recv[464] = -0.912031, LLR [464] = 0.000000
recv[465] = 1.150022, LLR [465] = 0.000000
recv[466] = 1.098222, LLR [466] = 0.000000
recv[467] = -1.130007, LLR [467] = 0.000000
recv[468] = -1.061824, LLR [468] = 0.000000
recv[469] = -0.891935, LLR [469] = 0.000000
recv[470] = -0.953021, LLR [470] = 0.000000
recv[471] = 0.939851, LLR [471] = 0.000000
recv[472] = -1.117881, LLR [472] = 0.000000
recv[473] = 0.923754, LLR [473] = 0.000000
recv[474] = -0.960140, LLR [474] = 0.000000
recv[475] = 1.052269, LLR [475] = 0.000000
recv[476] = 0.998676, LLR [476] = 0.000000
recv[477] = -1.052021, LLR [477] = 0.000000
recv[478] = 1.025383, LLR [478] = 0.000000
recv[479] = 1.070274, LLR [479] = 0.000000
recv[480] = -1.108639, LLR [480] = 0.000000
recv[481] = 0.995039, LLR [481] = 0.000000
recv[482] = 1.053169, LLR [482] = 0.000000
recv[483] = -0.993472, LLR [483] = 0.000000
recv[484] = -1.041987, LLR [484] = 0.000000
recv[485] = -1.054911, LLR [485] = 0.000000
recv[486] = 0.993377, LLR [486] = 0.000000
recv[487] = -0.899846, LLR [487] = 0.000000
recv[488] = 1.097746, LLR [488] = 0.000000
recv[489] = 0.810549, LLR [489] = 0.000000
recv[490] = 1.041731, LLR [490] = 0.000000
recv[491] = -0.942236, LLR [491] = 0.000000
recv[492] = 1.074444, LLR [492] = 0.000000
recv[493] = -0.953921, LLR [493] = 0.000000
recv[494] = -0.826085, LLR [494] = 0.000000
recv[495] = -1.160198, LLR [495] = 0.000000
recv[496] = -0.959118, LLR [496] = 0.000000
recv[497] = 0.994936, LLR [497] = 0.000000
recv[498] = -0.943226, LLR [498] = 0.000000
recv[499] = -1.029783, LLR [499] = 0.000000
recv[500] = -0.856818, LLR [500] = 0.000000
recv[501] = -0.846473, LLR [501] = 0.000000
recv[502] = -0.993083, LLR [502] = 0.000000
recv[503] = 1.100844, LLR [503] = 0.000000
recv[504] = -1.219086, LLR [504] = 0.000000
recv[505] = 0.941829, LLR [505] = 0.000000
recv[506] = 0.965679, LLR [506] = 0.000000
recv[507] = -1.056085, LLR [507] = 0.000000
recv[508] = -0.993602, LLR [508] = 0.000000
recv[509] = 0.987988, LLR [509] = 0.000000
recv[510] = -0.888862, LLR [510] = 0.000000
recv[511] = 1.158920, LLR [511] = 0.000000
recv[512] = -1.230089, LLR [512] = 0.000000
recv[513] = -1.023816, LLR [513] = 0.000000
recv[514] = 1.050621, LLR [514] = 0.000000
recv[515] = 1.010007, LLR [515] = 0.000000
recv[516] = -0.957752, LLR [516] = 0.000000
recv[517] = 1.065484, LLR [517] = 0.000000
recv[518] = 0.998482, LLR [518] = 0.000000
recv[519] = 0.906914, LLR [519] = 0.000000
recv[520] = -0.910032, LLR [520] = 0.000000
recv[521] = -1.044799, LLR [521] = 0.000000
recv[522] = -1.042420, LLR [522] = 0.000000
recv[523] = 1.081348, LLR [523] = 0.000000
recv[524] = -0.967348, LLR [524] = 0.000000
recv[525] = -0.970244, LLR [525] = 0.000000
recv[526] = -1.025668, LLR [526] = 0.000000
recv[527] = -0.945751, LLR [527] = 0.000000
recv[528] = 1.050219, LLR [528] = 0.000000
recv[529] = -1.036012, LLR [529] = 0.000000
recv[530] = -0.918909, LLR [530] = 0.000000
recv[531] = 1.015588, LLR [531] = 0.000000
recv[532] = -0.800251, LLR [532] = 0.000000
recv[533] = -0.971513, LLR [533] = 0.000000
recv[534] = 1.159461, LLR [534] = 0.000000
recv[535] = 1.097131, LLR [535] = 0.000000
recv[536] = -1.071979, LLR [536] = 0.000000
recv[537] = 0.946097, LLR [537] = 0.000000
recv[538] = -0.979301, LLR [538] = 0.000000
recv[539] = 0.955032, LLR [539] = 0.000000
recv[540] = 1.024536, LLR [540] = 0.000000
recv[541] = 0.965114, LLR [541] = 0.000000
recv[542] = 0.877112, LLR [542] = 0.000000
recv[543] = -0.876667, LLR [543] = 0.000000
recv[544] = 1.128832, LLR [544] = 0.000000
recv[545] = 0.970071, LLR [545] = 0.000000
recv[546] = -0.983560, LLR [546] = 0.000000
recv[547] = 1.096235, LLR [547] = 0.000000
recv[548] = 0.925828, LLR [548] = 0.000000
recv[549] = -1.021459, LLR [549] = 0.000000
recv[550] = 0.958116, LLR [550] = 0.000000
recv[551] = 1.148517, LLR [551] = 0.000000
recv[552] = 1.078966, LLR [552] = 0.000000
recv[553] = 0.971471, LLR [553] = 0.000000
recv[554] = -1.050757, LLR [554] = 0.000000
recv[555] = -1.184864, LLR [555] = 0.000000
recv[556] = -0.907416, LLR [556] = 0.000000
recv[557] = -1.139104, LLR [557] = 0.000000
recv[558] = -1.014180, LLR [558] = 0.000000
